id,value
id_0,6.68081651316399
id_1,18.175042958359807
id_2,23.41874814626689
id_3,7.718372911343295
id_4,27.034571791813224
id_5,22.248853156964735
id_6,23.84486228740568
id_7,30.460335930669395
id_8,16.859794092616454
id_9,59.68548560443345
id_10,11.678653765482155
id_11,9.339111386720147
id_12,63.43871399049273
id_13,53.23668623424851
id_14,22.198433126132784
id_15,12.162145428580796
id_16,32.49195647327168
id_17,66.67425388005489
id_18,-0.4187691332887875
id_19,17.16149290099828
id_20,41.699698195290004
id_21,72.09611187087397
id_22,9.370373636439414
id_23,17.733537532456022
id_24,14.756262623023042
id_25,37.64756218274098
id_26,14.607239932847744
id_27,69.93385286212623
id_28,7.260237456733265
id_29,55.42716919716853
id_30,24.440041872449825
id_31,8.478487779920899
id_32,2.508198851311702
id_33,18.734212443463903
id_34,27.792506424002287
id_35,37.25348277752753
id_36,43.286928445115265
id_37,29.830220796329655
id_38,42.17043562791799
id_39,35.157704050098495
id_40,7.659694193735799
id_41,41.269704846775916
id_42,30.591478265643858
id_43,50.96158384419649
id_44,17.513819050941073
id_45,35.366976314739496
id_46,24.629816668718025
id_47,9.624610666381
id_48,26.793061375317855
id_49,32.2510369811478
id_50,20.1243632221363
id_51,7.971036898911644
id_52,20.552012742407094
id_53,52.699988945203856
id_54,15.920911160751382
id_55,36.56368758671625
id_56,32.80823290998159
id_57,20.757998055436126
id_58,57.39761139644206
id_59,22.722106941474497
id_60,14.335257664161567
id_61,41.81089869029651
id_62,12.567878290347295
id_63,48.42385824486152
id_64,14.260651098126102
id_65,15.133691933703291
id_66,14.454908996676014
id_67,-0.9288381871391481
id_68,43.80834918466945
id_69,29.098810105324123
id_70,20.11366211863605
id_71,41.80007672423728
id_72,60.84478818794249
id_73,5.432091428657551
id_74,16.475639885146705
id_75,3.4852039317266073
id_76,40.56564863614495
id_77,13.96691899140407
id_78,21.558354358763133
id_79,21.05869616780738
id_80,23.964586801878344
id_81,36.100279540905
id_82,21.769100782379496
id_83,92.47407496163352
id_84,37.270207504375755
id_85,27.889533989113666
id_86,21.988223619587757
id_87,33.72375032646545
id_88,23.364285228035584
id_89,19.833299647710593
id_90,28.90207774620353
id_91,41.537931282750044
id_92,4.707381543274954
id_93,38.871935627500925
id_94,45.910072868550984
id_95,16.433831063919655
id_96,31.66588425572305
id_97,13.015147298331609
id_98,23.481232176537667
id_99,4.577174936334218
id_100,18.13940775177079
id_101,26.372898494285323
id_102,14.070790464876278
id_103,15.862042229260217
id_104,23.92911242629307
id_105,39.70188860440492
id_106,31.532917574578338
id_107,6.365169875812995
id_108,6.049401675753448
id_109,78.46769014566739
id_110,48.03728564649096
id_111,17.027094650608728
id_112,27.803712868289047
id_113,15.26329668470486
id_114,13.654168206851072
id_115,24.95166348415973
id_116,26.59073252692482
id_117,10.48705759032746
id_118,17.82256048622746
id_119,19.4427530938503
id_120,80.6269049422444
id_121,25.611670414986154
id_122,37.33951141493142
id_123,25.22741595737321
id_124,7.39931760737148
id_125,38.503757777602736
id_126,9.132374074519449
id_127,21.97781216306453
id_128,29.062158967569715
id_129,62.8156497440819
id_130,21.77347090493262
id_131,23.184243817902228
id_132,59.16283029926612
id_133,15.212918661900709
id_134,14.179375913142655
id_135,2.7207364024460188
id_136,12.45770005922428
id_137,58.670878757776514
id_138,20.37491063926609
id_139,5.368112451263976
id_140,29.031249157801913
id_141,25.329198579628013
id_142,45.287174301541306
id_143,30.78267485288828
id_144,18.318632165780794
id_145,26.0407749435328
id_146,12.045212713928358
id_147,51.924167277391845
id_148,23.670493067119402
id_149,38.400878127346395
id_150,10.235643594171576
id_151,8.111002770871547
id_152,23.55465445880497
id_153,6.378268638004458
id_154,15.129502436935036
id_155,41.19537996913438
id_156,7.812932279619826
id_157,36.243382019364276
id_158,11.017353927864708
id_159,18.674374347770847
id_160,41.510596379880745
id_161,19.36213466079983
id_162,13.240327404704134
id_163,7.902600306861326
id_164,52.63646907833497
id_165,31.129361851809534
id_166,-0.35861657462925844
id_167,16.36994854366944
id_168,63.679482544242035
id_169,14.284278622579649
id_170,63.699650206964
id_171,39.243649360285886
id_172,26.889635480052725
id_173,20.41450379765927
id_174,60.9299174868733
id_175,25.13196422273706
id_176,20.978954601388693
id_177,37.54512639258639
id_178,12.563567307952038
id_179,31.159689540337602
id_180,16.661858046713355
id_181,11.837699422317923
id_182,55.71015490471123
id_183,46.45411475530235
id_184,15.564446357623904
id_185,35.17887906642654
id_186,26.196180855006585
id_187,69.19373207939839
id_188,9.99689587046636
id_189,57.90635165584875
id_190,38.437943666329716
id_191,15.510116176600103
id_192,29.091705145970323
id_193,0.2902370841694852
